mac_address,ssid,channel,source,signal_strength,floorid,latitude,longitude,timestamp
FE:47:AD:D7:13:E2,C1,2417,cap2,-66,101,7.065735102,125.5964779,24/11/2023 12:02
FE:47:AD:D7:13:E2,C1,2422,cap2,-65,101,7.065735102,125.5964779,24/11/2023 12:02
FE:47:AD:D7:13:E2,C1,2422,cap2,-65,101,7.065735102,125.5964779,24/11/2023 12:02
FE:47:AD:D7:13:E2,C1,2412,cap3,-89,101,7.065735102,125.5964779,24/11/2023 12:02
FE:47:AD:D7:13:E2,C1,2422,cap2,-65,101,7.065735102,125.5964779,24/11/2023 12:02
FE:47:AD:D7:13:E2,C1,2412,cap2,-67,101,7.065735102,125.5964779,24/11/2023 12:02
FE:47:AD:D7:13:E2,C1,2412,cap3,-89,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2417,cap2,-63,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2412,cap3,-89,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2417,cap2,-63,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2412,cap3,-89,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2417,cap2,-63,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2417,cap2,-65,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2412,cap3,-89,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2417,cap2,-65,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2412,cap3,-89,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2417,cap2,-65,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2412,cap3,-89,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2417,cap2,-65,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2412,cap3,-89,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2417,cap2,-65,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2412,cap3,-89,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2417,cap2,-65,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2412,cap3,-89,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2417,cap2,-65,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2412,cap3,-89,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2412,cap2,-67,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2412,cap3,-89,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2412,cap2,-67,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2412,cap3,-89,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2412,cap2,-67,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2412,cap3,-89,101,7.065735102,125.5964779,24/11/2023 12:03
FE:47:AD:D7:13:E2,C1,2412,cap2,-67,101,7.065735102,125.5964779,24/11/2023 12:03
